Fecha Tiempo Temperatura Distancia Paso_Madera
2025/1/15 12:59:36 19.97 332.00 0
2025/1/15 12:59:36 19.97 332.00 0
2025/1/15 12:59:36 19.91 332.00 0
2025/1/15 12:59:37 19.97 332.00 0
2025/1/15 12:59:37 19.99 332.00 0
2025/1/15 12:59:37 19.89 332.00 0
2025/1/15 12:59:37 19.91 332.00 0
2025/1/15 12:59:38 19.91 332.00 0
2025/1/15 12:59:38 19.99 331.00 0
2025/1/15 12:59:38 19.89 332.00 0
2025/1/15 12:59:38 19.91 332.00 0
2025/1/15 12:59:38 19.93 332.00 0
2025/1/15 12:59:39 19.97 332.00 0
2025/1/15 12:59:39 19.95 332.00 0
2025/1/15 12:59:39 19.97 332.00 0
2025/1/15 12:59:39 19.85 332.00 0
2025/1/15 12:59:40 19.95 332.00 0
2025/1/15 12:59:40 19.91 332.00 0
2025/1/15 12:59:40 19.95 332.00 0
2025/1/15 12:59:40 19.89 332.00 0
2025/1/15 12:59:41 19.89 332.00 0
2025/1/15 12:59:41 19.97 333.00 0
2025/1/15 12:59:41 20.01 333.00 0
2025/1/15 12:59:41 19.91 333.00 0
2025/1/15 12:59:42 20.01 333.00 0
2025/1/15 12:59:42 19.91 333.00 0
2025/1/15 12:59:42 19.97 332.00 0
2025/1/15 12:59:42 20.03 332.00 0
2025/1/15 12:59:42 20.05 332.00 0
2025/1/15 12:59:43 19.99 332.00 0
2025/1/15 12:59:43 20.01 332.00 0
2025/1/15 12:59:43 19.89 332.00 0
2025/1/15 12:59:43 20.01 332.00 0
2025/1/15 12:59:44 19.93 333.00 0
2025/1/15 12:59:44 19.91 333.00 0
2025/1/15 12:59:44 19.89 333.00 0
2025/1/15 12:59:45 20.01 333.00 0
2025/1/15 12:59:45 19.99 332.00 0
2025/1/15 12:59:45 19.99 333.00 0
2025/1/15 12:59:45 19.95 333.00 0
2025/1/15 12:59:46 20.01 332.00 0
2025/1/15 12:59:46 19.99 332.00 0
2025/1/15 12:59:46 19.99 332.00 0
2025/1/15 12:59:46 19.97 332.00 0
2025/1/15 12:59:46 20.01 332.00 0
2025/1/15 12:59:47 20.01 332.00 0
2025/1/15 12:59:47 20.09 332.00 0
2025/1/15 12:59:47 20.03 332.00 0
2025/1/15 12:59:47 20.03 332.00 0
2025/1/15 12:59:48 19.97 332.00 0
2025/1/15 12:59:48 19.99 332.00 0
