Fecha,Hora,Corriente(A)
23/1/2025,3:25:37 PM,-0.07
23/1/2025,3:25:37 PM,-0.54
23/1/2025,3:25:37 PM,-0.38
23/1/2025,3:25:37 PM,-0.07
23/1/2025,3:25:37 PM,-0.23
23/1/2025,3:25:38 PM,-0.38
23/1/2025,3:25:38 PM,-0.07
23/1/2025,3:25:38 PM,-0.38
23/1/2025,3:25:38 PM,-0.38
23/1/2025,3:25:38 PM,-0.38
23/1/2025,3:25:38 PM,-0.54
23/1/2025,3:25:38 PM,-0.23
23/1/2025,3:25:38 PM,-0.38
23/1/2025,3:25:38 PM,-0.54
23/1/2025,3:25:38 PM,-0.54
23/1/2025,3:25:39 PM,-0.07
23/1/2025,3:25:39 PM,-0.07
23/1/2025,3:25:39 PM,-0.38
23/1/2025,3:25:39 PM,-0.54
23/1/2025,3:25:39 PM,-0.38
23/1/2025,3:25:39 PM,-0.38
23/1/2025,3:25:39 PM,-0.23
23/1/2025,3:25:39 PM,-0.38
23/1/2025,3:25:39 PM,-0.07
23/1/2025,3:25:39 PM,0.08
23/1/2025,3:25:40 PM,-0.07
23/1/2025,3:25:40 PM,-0.54
23/1/2025,3:25:40 PM,-0.38
23/1/2025,3:25:40 PM,-0.38
23/1/2025,3:25:40 PM,-0.07
23/1/2025,3:25:40 PM,-0.23
23/1/2025,3:25:40 PM,-0.38
23/1/2025,3:25:40 PM,-0.38
23/1/2025,3:25:40 PM,-0.38
23/1/2025,3:25:40 PM,-0.38
23/1/2025,3:25:41 PM,-0.38
23/1/2025,3:25:41 PM,-0.38
23/1/2025,3:25:41 PM,-0.54
23/1/2025,3:25:41 PM,-0.38
23/1/2025,3:25:41 PM,-0.23
23/1/2025,3:25:41 PM,-0.38
23/1/2025,3:25:41 PM,-0.54
23/1/2025,3:25:41 PM,-0.38
23/1/2025,3:25:41 PM,0.08
23/1/2025,3:25:41 PM,-0.07
23/1/2025,3:25:42 PM,-0.38
23/1/2025,3:25:42 PM,-0.23
23/1/2025,3:25:42 PM,-0.23
23/1/2025,3:25:42 PM,-0.07
23/1/2025,3:25:42 PM,-0.38
23/1/2025,3:25:42 PM,-0.23
23/1/2025,3:25:42 PM,-0.38
23/1/2025,3:25:42 PM,-0.54
23/1/2025,3:25:42 PM,-0.07
23/1/2025,3:25:42 PM,-0.38
23/1/2025,3:25:43 PM,-0.23
23/1/2025,3:25:43 PM,-0.38
