Fecha Hora Temperatura Distancia Laser_pequeño Paso_Madera
2025-01-06 08:54:51 20.61 224 150 1
2025-01-06 08:54:52 20.37 224 155 1
2025-01-06 08:54:53 20.51 224 157 1
2025-01-06 08:54:54 20.61 225 153 1
2025-01-06 08:54:55 20.71 225 155 1
2025-01-06 08:54:56 20.65 225 155 1
2025-01-06 08:54:57 20.65 225 152 1
2025-01-06 08:54:58 20.65 225 142 1
2025-01-06 08:54:59 20.49 225 153 1
2025-01-06 08:55:00 20.39 225 165 1
2025-01-06 08:55:01 20.59 225 152 1
2025-01-06 08:55:02 20.65 225 154 1
2025-01-06 08:55:03 20.59 225 159 1
2025-01-06 08:55:05 20.51 225 149 1
2025-01-06 08:55:06 20.73 225 163 1
2025-01-06 08:55:07 20.67 225 148 1
2025-01-06 08:55:08 20.51 225 152 1
2025-01-06 08:55:09 20.45 225 157 1
2025-01-06 08:55:10 20.61 225 156 1
2025-01-06 08:55:11 20.67 225 153 1
2025-01-06 08:55:12 20.49 225 144 1
2025-01-06 08:55:13 20.43 225 151 1
2025-01-06 08:55:14 20.49 225 155 1
2025-01-06 08:55:15 20.55 225 147 1
2025-01-06 08:55:16 20.43 225 154 1
2025-01-06 08:55:17 20.55 225 149 1
2025-01-06 08:55:18 20.43 225 148 1
2025-01-06 08:55:19 20.49 225 154 1
2025-01-06 08:55:20 20.43 225 146 1
2025-01-06 08:55:21 20.71 225 151 1
2025-01-06 08:55:22 20.59 225 152 1
2025-01-06 08:55:23 20.59 225 144 1
2025-01-06 08:55:25 20.49 225 148 1
2025-01-06 08:55:26 20.61 225 150 1
2025-01-06 08:55:27 20.71 225 156 1
2025-01-06 08:55:28 20.61 225 155 1
2025-01-06 08:55:29 20.43 230 139 1
2025-01-06 08:55:30 20.27 230 156 1
2025-01-06 08:55:31 20.51 226 150 1
2025-01-06 08:55:32 20.67 226 153 1
2025-01-06 08:55:33 20.65 226 148 1
2025-01-06 08:55:34 20.43 226 147 1
2025-01-06 08:55:35 20.55 226 153 1
2025-01-06 08:55:36 20.59 226 154 1
2025-01-06 08:55:37 20.65 226 156 1
2025-01-06 08:55:38 20.49 226 156 1
2025-01-06 08:55:39 20.77 226 156 1
2025-01-06 08:55:40 20.59 226 160 1
2025-01-06 08:55:41 20.43 226 156 1
2025-01-06 08:55:42 20.67 226 148 1
2025-01-06 08:55:43 20.67 226 161 1
2025-01-06 08:55:44 20.61 226 149 1
2025-01-06 08:55:46 20.45 226 148 1
2025-01-06 08:55:47 20.67 226 152 1
2025-01-06 08:55:48 20.61 226 144 1
2025-01-06 08:55:49 20.61 226 152 1
2025-01-06 08:55:50 20.55 226 147 1
2025-01-06 08:55:51 20.43 226 148 1
2025-01-06 08:55:52 20.51 226 152 1
2025-01-06 08:55:53 20.49 226 148 1
2025-01-06 08:55:54 20.67 226 150 1
2025-01-06 08:55:55 20.59 226 158 1
2025-01-06 08:55:56 20.59 226 150 1
2025-01-06 08:55:57 20.55 226 151 1
2025-01-06 08:55:58 20.59 226 140 1
2025-01-06 08:55:59 20.45 226 159 1
2025-01-06 08:56:00 20.51 226 151 1
2025-01-06 08:56:01 20.45 226 152 1
2025-01-06 08:56:02 20.43 226 148 1
2025-01-06 08:56:03 20.61 226 152 1
2025-01-06 08:56:04 20.65 226 146 1
2025-01-06 08:56:06 20.49 226 155 1
2025-01-06 08:56:07 20.65 226 156 1
2025-01-06 08:56:08 20.67 226 152 1
2025-01-06 08:56:09 20.65 226 155 1
2025-01-06 08:56:10 20.45 226 154 1
2025-01-06 08:56:11 20.55 226 160 1
2025-01-06 08:56:12 20.77 226 153 1
2025-01-06 08:56:13 20.55 226 152 1
2025-01-06 08:56:14 20.67 226 155 1
2025-01-06 08:56:15 20.49 226 147 1
2025-01-06 08:56:16 20.43 226 153 1
2025-01-06 08:56:17 20.49 226 152 1
2025-01-06 08:56:18 20.39 226 148 1
2025-01-06 08:56:19 20.49 226 149 1
2025-01-06 08:56:20 20.27 226 147 1
2025-01-06 08:56:21 20.59 226 148 1
2025-01-06 08:56:22 20.61 226 154 1
2025-01-06 08:56:23 20.61 226 152 1
2025-01-06 08:56:24 20.43 226 153 1
2025-01-06 08:56:25 20.55 226 156 1
2025-01-06 08:56:27 20.49 226 149 1
2025-01-06 08:56:28 20.37 226 150 1
2025-01-06 08:56:29 20.65 226 148 1
2025-01-06 08:56:30 20.65 226 150 1
2025-01-06 08:56:31 20.65 226 155 1
2025-01-06 08:56:32 20.49 226 154 1
2025-01-06 08:56:33 20.67 226 160 1
2025-01-06 08:56:34 20.55 226 145 1
2025-01-06 08:56:35 20.31 226 145 1
2025-01-06 08:56:36 20.49 226 151 1
2025-01-06 08:56:37 20.33 226 151 1
2025-01-06 08:56:38 20.45 226 148 1
2025-01-06 08:56:39 20.61 226 144 1
2025-01-06 08:56:40 20.59 226 149 1
2025-01-06 08:56:41 20.77 226 153 1
2025-01-06 08:57:53 21.21 222 139 1
2025-01-06 08:57:54 21.01 222 143 1
2025-01-06 08:57:55 21.23 222 144 1
2025-01-06 08:57:56 21.17 222 137 1
2025-01-06 08:57:57 21.33 222 147 1
2025-01-06 08:57:58 21.23 222 133 1
2025-01-06 08:57:59 21.17 222 130 1
2025-01-06 08:58:00 21.01 222 136 1
2025-01-06 08:58:01 21.07 222 153 1
2025-01-06 08:58:03 21.11 222 134 1
2025-01-06 08:58:04 21.07 222 131 1
2025-01-06 08:58:05 21.05 222 138 1
2025-01-06 08:58:06 21.21 222 140 1
