Fecha Hora Temperatura Distancia Laser_pequeño Paso_Madera
2025/1/16 9:59:4 21.39 354 78 1
2025/1/16 9:59:5 21.39 355 8191 0
2025/1/16 9:59:6 21.23 355 63 1
2025/1/16 9:59:7 21.21 355 110 1
2025/1/16 9:59:8 21.61 355 248 0
2025/1/16 9:59:10 21.05 334 261 0
2025/1/16 9:59:11 21.11 334 275 0
2025/1/16 9:59:12 21.01 328 270 0
2025/1/16 9:59:13 21.07 328 239 0
2025/1/16 9:59:14 20.95 335 269 0
2025/1/16 9:59:15 21.45 335 98 1
2025/1/16 9:59:16 21.27 354 66 1
2025/1/16 9:59:17 21.23 354 8191 0
2025/1/16 9:59:18 21.33 354 236 0
2025/1/16 9:59:19 21.33 355 232 0
2025/1/16 9:59:20 21.45 355 8191 0
2025/1/16 9:59:21 21.39 355 8191 0
2025/1/16 9:59:22 21.49 355 75 1
2025/1/16 9:59:23 21.29 355 8191 0
2025/1/16 9:59:24 21.43 355 47 1
2025/1/16 9:59:25 21.49 355 57 1
2025/1/16 9:59:26 21.33 355 8191 0
2025/1/16 9:59:27 21.63 355 8191 0
2025/1/16 9:59:28 21.27 355 8191 0
2025/1/16 9:59:30 21.45 355 8191 0
2025/1/16 9:59:31 21.37 355 41 1
2025/1/16 9:59:32 21.29 355 99 1
2025/1/16 9:59:33 21.37 355 29 1
2025/1/16 9:59:34 21.71 355 51 1
2025/1/16 9:59:35 21.37 355 17 1
2025/1/16 9:59:36 21.51 355 255 0
2025/1/16 9:59:37 21.23 353 280 0
2025/1/16 9:59:38 21.67 330 229 0
2025/1/16 9:59:39 21.27 330 254 0
2025/1/16 9:59:40 21.39 294 74 1
2025/1/16 9:59:41 21.27 294 50 1
2025/1/16 9:59:42 21.67 354 66 1
2025/1/16 9:59:43 21.43 354 87 1
2025/1/16 9:59:44 21.55 354 250 0
2025/1/16 9:59:45 21.49 354 192 1
2025/1/16 9:59:46 21.57 354 8191 0
2025/1/16 9:59:47 21.43 354 53 1
2025/1/16 9:59:48 21.23 354 8191 0
2025/1/16 9:59:49 21.51 354 8190 0
2025/1/16 9:59:51 21.45 354 8190 0
2025/1/16 9:59:52 21.23 354 156 1
2025/1/16 9:59:53 21.21 352 268 0
2025/1/16 9:59:54 21.15 352 269 0
2025/1/16 9:59:55 21.01 335 292 0
2025/1/16 9:59:56 21.07 335 285 0
2025/1/16 9:59:57 21.05 339 291 0
2025/1/16 9:59:58 21.05 339 8191 0
2025/1/16 9:59:59 21.37 354 8191 0
2025/1/16 10:0:0 21.37 356 8191 0
2025/1/16 10:0:1 21.29 354 8191 0
2025/1/16 10:0:2 21.17 354 258 0
2025/1/16 10:0:3 21.29 354 262 0
2025/1/16 10:0:4 21.29 354 8191 0
2025/1/16 10:0:5 21.17 354 64 1
2025/1/16 10:0:6 21.45 354 8191 0
2025/1/16 10:0:7 21.37 355 108 1
2025/1/16 10:0:8 21.29 355 104 1
2025/1/16 10:0:9 21.37 355 43 1
2025/1/16 10:0:10 21.27 355 50 1
2025/1/16 10:0:12 21.33 355 67 1
2025/1/16 10:0:13 21.29 355 84 1
2025/1/16 10:0:14 21.39 355 82 1
2025/1/16 10:0:15 21.27 355 8191 0
2025/1/16 10:0:16 21.39 355 8191 0
2025/1/16 10:0:17 21.21 355 8191 0
2025/1/16 10:0:18 21.21 355 71 1
2025/1/16 10:0:19 21.29 355 265 0
2025/1/16 10:0:20 21.15 325 168 1
2025/1/16 10:0:21 21.07 325 257 0
2025/1/16 10:0:22 21.21 325 228 0
