Fecha Hora Temperatura(ºC) Distancia(mm) Madera
2025/1/15 15:25:2 14.99 298.00 0
2025/1/15 15:25:2 14.95 297.00 0
2025/1/15 15:25:2 15.03 297.00 0
2025/1/15 15:25:2 15.05 297.00 0
2025/1/15 15:25:3 15.05 297.00 0
2025/1/15 15:25:3 14.99 297.00 0
2025/1/15 15:25:3 14.91 298.00 0
2025/1/15 15:25:3 15.01 298.00 0
2025/1/15 15:25:4 15.01 298.00 0
2025/1/15 15:25:4 15.05 297.00 0
2025/1/15 15:25:4 14.95 299.00 0
2025/1/15 15:25:4 15.07 299.00 0
2025/1/15 15:25:5 15.03 298.00 0
2025/1/15 15:25:5 14.99 299.00 0
2025/1/15 15:25:5 15.09 299.00 0
2025/1/15 15:25:5 15.01 299.00 0
2025/1/15 15:25:6 15.03 296.00 0
2025/1/15 15:25:6 14.97 299.00 0
2025/1/15 15:25:6 15.09 296.00 0
2025/1/15 15:25:6 15.09 296.00 0
2025/1/15 15:25:6 15.03 298.00 0
2025/1/15 15:25:6 15.03 298.00 0
2025/1/15 15:25:6 14.99 296.00 0
2025/1/15 15:25:6 15.03 296.00 0
2025/1/15 15:25:7 15.05 296.00 0
2025/1/15 15:25:7 15.05 296.00 0
2025/1/15 15:25:7 15.01 299.00 0
2025/1/15 15:25:7 15.01 299.00 0
2025/1/15 15:25:7 15.07 297.00 0
2025/1/15 15:25:7 14.97 297.00 0
2025/1/15 15:25:7 14.97 297.00 0
2025/1/15 15:25:8 14.95 296.00 0
2025/1/15 15:25:8 15.01 296.00 0
2025/1/15 15:25:8 14.95 300.00 0
2025/1/15 15:25:8 14.95 300.00 0
2025/1/15 15:25:8 15.05 299.00 0
2025/1/15 15:25:8 15.05 299.00 0
2025/1/15 15:25:8 15.05 299.00 0
2025/1/15 15:25:8 15.05 299.00 0
2025/1/15 15:25:9 15.01 300.00 0
2025/1/15 15:25:9 15.01 300.00 0
2025/1/15 15:25:9 14.95 300.00 0
2025/1/15 15:25:9 15.01 300.00 0
2025/1/15 15:25:9 15.01 300.00 0
2025/1/15 15:25:9 14.99 300.00 0
2025/1/15 15:25:9 14.99 300.00 0
2025/1/15 15:25:10 14.99 300.00 0
2025/1/15 15:25:10 14.99 300.00 0
2025/1/15 15:25:10 15.21 295.00 0
2025/1/15 15:25:10 15.21 295.00 0
2025/1/15 15:25:10 15.05 300.00 0
2025/1/15 15:25:10 14.97 300.00 0
2025/1/15 15:25:10 15.03 300.00 0
2025/1/15 15:25:10 15.03 300.00 0
2025/1/15 15:25:10 15.05 297.00 0
2025/1/15 15:25:10 15.05 297.00 0
2025/1/15 15:25:11 14.97 300.00 0
2025/1/15 15:25:11 14.97 300.00 0
2025/1/15 15:25:11 15.11 299.00 0
2025/1/15 15:25:11 15.05 296.00 0
2025/1/15 15:25:11 15.07 296.00 0
2025/1/15 15:25:11 15.09 298.00 0
2025/1/15 15:25:11 15.09 298.00 0
2025/1/15 15:25:12 14.99 298.00 0
2025/1/15 15:25:12 14.99 298.00 0
2025/1/15 15:25:12 15.01 299.00 0
2025/1/15 15:25:12 15.03 299.00 0
2025/1/15 15:25:12 15.03 299.00 0
2025/1/15 15:25:12 15.03 299.00 0
2025/1/15 15:25:12 15.03 299.00 0
2025/1/15 15:25:13 15.13 298.00 0
2025/1/15 15:25:13 15.13 298.00 0
2025/1/15 15:25:13 15.15 299.00 0
2025/1/15 15:25:13 15.15 299.00 0
2025/1/15 15:25:13 15.09 299.00 0
2025/1/15 15:25:13 15.09 299.00 0
2025/1/15 15:25:13 14.99 298.00 0
2025/1/15 15:25:13 14.99 298.00 0
2025/1/15 15:25:14 15.15 298.00 0
2025/1/15 15:25:14 15.15 298.00 0
2025/1/15 15:25:14 15.07 298.00 0
2025/1/15 15:25:14 15.07 298.00 0
2025/1/15 15:25:14 15.19 298.00 0
2025/1/15 15:25:14 15.19 298.00 0
2025/1/15 15:25:14 15.07 298.00 0
2025/1/15 15:25:14 15.07 298.00 0
2025/1/15 15:25:14 15.07 298.00 0
2025/1/15 15:25:15 15.07 298.00 0
2025/1/15 15:25:15 15.07 298.00 0
2025/1/15 15:25:15 15.01 298.00 0
2025/1/15 15:25:15 15.01 298.00 0
2025/1/15 15:25:15 15.05 297.00 0
2025/1/15 15:25:15 15.05 297.00 0
2025/1/15 15:25:15 15.07 298.00 0
2025/1/15 15:25:15 15.07 298.00 0
2025/1/15 15:25:16 15.13 298.00 0
2025/1/15 15:25:16 15.13 298.00 0
2025/1/15 15:25:16 15.07 298.00 0
2025/1/15 15:25:16 15.07 298.00 0
2025/1/15 15:25:16 15.05 297.00 0
2025/1/15 15:25:16 15.05 297.00 0
2025/1/15 15:25:16 15.11 297.00 0
2025/1/15 15:25:16 15.11 297.00 0
2025/1/15 15:25:17 15.03 298.00 0
2025/1/15 15:25:17 15.03 298.00 0
2025/1/15 15:25:17 15.05 300.00 0
2025/1/15 15:25:17 15.05 300.00 0
2025/1/15 15:25:17 15.09 297.00 0
2025/1/15 15:25:17 15.09 297.00 0
2025/1/15 15:25:17 15.17 299.00 0
2025/1/15 15:25:18 15.07 298.00 0
2025/1/15 15:25:18 15.07 298.00 0
