Fecha Hora Temperatura Distancia Laser_pequeño
2025/1/22 14:43:58 21.77 497 42
2025/1/22 14:43:59 23.63 58 41
2025/1/22 14:44:0 27.21 58 41
2025/1/22 14:44:1 27.91 66 40
2025/1/22 14:44:2 27.73 73 43
2025/1/22 14:44:3 28.37 73 41
2025/1/22 14:44:4 25.69 68 43
2025/1/22 14:44:6 22.23 68 243
2025/1/22 14:44:40 21.89 101 8191
2025/1/22 14:44:42 22.01 101 8191
2025/1/22 14:44:0 21.57 4866 43
2025/1/22 14:44:1 21.89 4866 41
2025/1/22 14:44:2 21.63 4866 43
2025/1/22 14:44:3 21.71 4866 44
2025/1/22 14:44:4 22.13 4866 43
2025/1/22 14:44:5 22.13 4868 47
2025/1/22 14:44:7 22.19 4868 45
2025/1/22 14:44:8 21.83 4868 44
2025/1/22 14:44:9 21.89 4872 44
2025/1/22 14:44:10 21.73 4872 45
2025/1/22 14:44:11 21.57 4872 44
2025/1/22 14:44:12 21.79 4872 43
2025/1/22 14:44:13 21.77 4799 46
2025/1/22 14:44:14 21.63 4799 43
2025/1/22 14:44:15 21.89 4799 45
2025/1/22 14:44:16 21.61 4833 46
2025/1/22 14:44:17 22.07 4833 41
2025/1/22 14:44:18 21.63 4833 45
2025/1/22 14:44:19 21.51 4835 47
2025/1/22 14:44:20 21.33 4835 46
2025/1/22 14:44:21 21.61 4838 43
2025/1/22 14:44:22 21.57 4838 44
2025/1/22 14:44:23 21.57 4835 45
2025/1/22 14:44:24 21.29 4835 43
2025/1/22 14:44:25 21.49 4835 47
2025/1/22 14:44:26 21.43 4835 42
2025/1/22 14:44:28 21.39 4835 45
2025/1/22 14:44:29 21.61 4835 44
2025/1/22 14:44:30 21.57 4835 44
2025/1/22 14:44:31 21.51 4835 43
2025/1/22 14:44:32 21.51 4835 43
2025/1/22 14:44:33 21.49 4831 43
2025/1/22 14:44:34 21.49 4831 42
2025/1/22 14:44:35 21.51 4831 44
2025/1/22 14:44:36 21.27 4833 42
2025/1/22 14:44:37 21.33 4833 47
2025/1/22 14:44:38 21.33 4833 43
2025/1/22 14:44:39 21.63 4838 43
2025/1/22 14:44:40 21.27 4838 42
2025/1/22 14:44:41 21.37 4835 45
2025/1/22 14:44:42 21.49 4835 44
2025/1/22 14:44:43 21.27 4835 45
2025/1/22 14:44:44 21.39 4835 45
2025/1/22 14:44:45 21.45 4835 46
2025/1/22 14:44:46 21.33 4835 43
2025/1/22 14:44:47 21.33 4835 41
2025/1/22 14:44:49 21.63 4835 43
2025/1/22 14:44:50 21.45 4830 44
2025/1/22 14:44:51 21.55 4830 45
2025/1/22 14:44:52 21.43 4832 44
2025/1/22 14:44:53 21.55 4832 43
2025/1/22 14:44:54 21.45 4832 43
2025/1/22 14:44:55 21.43 4832 44
2025/1/22 14:44:56 21.43 4832 43
2025/1/22 14:44:57 21.57 4832 44
2025/1/22 14:44:58 21.39 4835 43
2025/1/22 14:44:59 21.49 4835 43
2025/1/22 14:45:0 21.71 4830 43
2025/1/22 14:45:1 21.43 4830 41
2025/1/22 14:45:2 21.51 4830 43
2025/1/22 14:45:3 21.27 4830 41
2025/1/22 14:45:4 21.57 4830 42
2025/1/22 14:45:5 21.45 4830 43
2025/1/22 14:45:6 21.01 4830 43
2025/1/22 14:45:7 21.57 4830 41
2025/1/22 14:45:8 21.45 4830 41
2025/1/22 14:45:10 21.33 4830 43
2025/1/22 14:45:11 21.57 4833 43
2025/1/22 14:45:12 21.51 4833 41
2025/1/22 14:45:13 21.55 4834 42
2025/1/22 14:45:14 21.67 4834 42
2025/1/22 14:45:15 21.49 4834 43
2025/1/22 14:45:16 21.45 4834 41
2025/1/22 14:45:17 21.45 4834 43
2025/1/22 14:45:18 21.37 4834 42
2025/1/22 14:45:19 21.45 4830 43
2025/1/22 14:45:20 21.27 4830 40
2025/1/22 14:45:21 21.63 4830 40
2025/1/22 14:45:22 21.55 4833 41
2025/1/22 14:45:23 21.55 4833 43
2025/1/22 14:45:24 21.49 4835 40
2025/1/22 14:45:25 21.43 4835 40
2025/1/22 14:45:26 21.37 4835 41
2025/1/22 14:45:27 21.45 4835 40
2025/1/22 14:45:28 21.37 4835 41
2025/1/22 14:45:29 21.21 4835 41
2025/1/22 14:45:31 21.37 4830 41
2025/1/22 14:45:32 21.27 4830 43
2025/1/22 14:45:33 21.33 4830 42
2025/1/22 14:45:34 21.79 4838 40
2025/1/22 14:45:35 21.33 4838 41
2025/1/22 14:45:36 21.27 534 44
2025/1/22 14:45:37 21.37 534 39
2025/1/22 14:45:38 21.37 535 43
2025/1/22 14:45:39 21.39 535 42
2025/1/22 14:45:40 21.45 535 43
2025/1/22 14:45:41 21.23 535 38
2025/1/22 14:45:42 21.21 535 39
2025/1/22 14:45:43 21.39 535 38
2025/1/22 14:45:44 21.23 535 38
2025/1/22 14:45:45 21.49 535 40
2025/1/22 14:45:46 21.21 535 41
2025/1/22 14:45:47 21.43 536 42
2025/1/22 14:45:48 21.37 536 40
2025/1/22 14:45:49 21.61 536 42
2025/1/22 14:45:50 21.37 536 42
2025/1/22 14:45:52 21.39 536 37
2025/1/22 14:45:53 21.43 536 37
2025/1/22 14:45:54 21.39 536 38
2025/1/22 14:45:55 21.49 536 39
2025/1/22 14:45:56 21.17 536 39
2025/1/22 14:45:57 21.55 536 40
2025/1/22 14:45:58 21.23 536 40
2025/1/22 14:45:59 21.33 536 38
2025/1/22 14:46:0 21.49 536 39
2025/1/22 14:46:1 21.37 536 42
2025/1/22 14:46:2 21.45 536 38
2025/1/22 14:46:3 21.39 536 40
2025/1/22 14:46:4 21.51 536 41
2025/1/22 14:46:5 21.21 536 38
2025/1/22 14:46:6 21.27 536 41
2025/1/22 14:46:7 21.33 536 38
2025/1/22 14:46:8 21.21 536 40
2025/1/22 14:46:9 21.33 536 40
2025/1/22 14:46:10 21.29 537 42
2025/1/22 14:46:11 21.23 537 39
2025/1/22 14:46:13 21.49 537 39
2025/1/22 14:46:14 21.43 557 38
2025/1/22 14:46:15 21.49 557 39
2025/1/22 14:46:16 21.27 616 40
2025/1/22 14:46:17 21.29 616 40
2025/1/22 14:46:18 21.17 617 38
2025/1/22 14:46:19 21.33 617 38
2025/1/22 14:46:20 21.39 617 37
2025/1/22 14:46:21 21.45 617 41
2025/1/22 14:46:22 21.27 617 41
2025/1/22 14:46:23 21.45 617 39
2025/1/22 14:44:7 21.57 4933 39
2025/1/22 14:44:8 21.71 4933 36
2025/1/22 14:44:9 21.37 612 40
2025/1/22 14:44:10 21.51 612 40
2025/1/22 14:44:11 21.51 612 39
2025/1/22 14:44:12 21.37 612 38
2025/1/22 14:44:13 21.39 612 37
2025/1/22 14:44:14 21.51 612 38
2025/1/22 14:44:15 21.57 612 38
2025/1/22 14:44:16 21.29 612 37
2025/1/22 14:44:17 21.43 612 37
2025/1/22 14:44:18 21.45 612 36
2025/1/22 14:44:19 21.27 612 38
2025/1/22 14:44:20 21.51 612 38
2025/1/22 14:44:21 21.43 612 40
2025/1/22 14:44:22 21.49 612 37
2025/1/22 14:44:23 21.37 612 37
2025/1/22 14:44:24 21.37 612 39
2025/1/22 14:44:25 21.27 612 37
2025/1/22 14:44:26 21.49 612 39
2025/1/22 14:44:28 21.57 612 40
2025/1/22 14:44:29 21.43 612 38
2025/1/22 14:44:30 21.51 612 39
2025/1/22 14:44:31 21.43 612 39
2025/1/22 14:44:32 21.51 612 38
2025/1/22 14:44:33 21.63 612 39
2025/1/22 14:44:34 21.45 612 40
2025/1/22 14:44:35 21.51 612 38
2025/1/22 14:44:36 21.63 612 35
2025/1/22 14:44:37 21.57 612 39
2025/1/22 14:44:38 21.61 612 38
2025/1/22 14:44:39 21.49 612 37
2025/1/22 14:44:40 21.39 612 39
2025/1/22 14:44:41 21.49 612 39
2025/1/22 14:44:42 21.43 612 36
2025/1/22 14:44:43 21.43 612 38
2025/1/22 14:44:44 21.51 612 37
2025/1/22 14:44:45 21.39 612 37
2025/1/22 14:44:46 21.27 612 40
2025/1/22 14:44:47 21.43 612 38
2025/1/22 14:44:49 21.55 612 38
2025/1/22 14:44:50 21.39 612 41
2025/1/22 14:44:51 21.71 612 40
2025/1/22 14:44:52 21.55 612 38
2025/1/22 14:44:53 21.55 612 39
2025/1/22 14:44:54 21.37 612 35
2025/1/22 14:44:55 21.37 612 37
2025/1/22 14:44:56 21.37 612 37
2025/1/22 14:44:57 21.33 612 36
2025/1/22 14:44:58 21.39 612 37
2025/1/22 14:44:59 21.57 612 39
2025/1/22 14:45:0 21.51 612 37
2025/1/22 14:45:1 21.77 612 37
2025/1/22 14:45:2 21.77 612 38
2025/1/22 14:45:3 21.45 612 37
2025/1/22 14:45:4 21.49 612 40
2025/1/22 14:45:5 21.43 612 38
2025/1/22 14:45:6 21.45 613 37
2025/1/22 14:45:7 21.55 613 37
2025/1/22 14:45:8 21.57 613 40
2025/1/22 14:45:10 21.61 613 39
2025/1/22 14:45:11 21.45 613 35
2025/1/22 14:45:12 21.45 613 40
2025/1/22 14:45:13 21.61 613 36
2025/1/22 14:45:14 21.29 613 37
2025/1/22 14:45:15 21.61 613 36
2025/1/22 14:45:16 21.63 613 39
2025/1/22 14:45:17 21.37 613 38
2025/1/22 14:45:18 21.51 613 39
2025/1/22 14:45:19 21.39 613 37
2025/1/22 14:45:20 21.27 613 35
2025/1/22 14:45:21 21.55 613 39
2025/1/22 14:45:22 21.45 613 41
2025/1/22 14:45:23 21.49 613 38
2025/1/22 14:45:24 21.57 613 39
2025/1/22 14:45:25 21.27 613 35
2025/1/22 14:45:26 21.49 613 41
2025/1/22 14:45:27 21.61 613 37
2025/1/22 14:45:28 21.37 613 39
2025/1/22 14:45:29 21.61 613 36
2025/1/22 14:45:31 21.49 613 38
2025/1/22 14:45:32 21.45 613 40
2025/1/22 14:45:33 21.49 613 38
2025/1/22 14:45:34 21.43 613 38
2025/1/22 14:45:35 21.73 613 36
2025/1/22 14:45:36 21.37 613 38
2025/1/22 14:45:37 21.37 613 39
2025/1/22 14:45:38 21.49 613 39
2025/1/22 14:45:39 21.55 613 38
2025/1/22 14:45:40 21.63 613 39
2025/1/22 14:45:41 21.37 613 39
2025/1/22 14:45:42 21.49 613 37
2025/1/22 14:45:43 21.39 613 39
2025/1/22 14:45:44 21.71 613 37
2025/1/22 14:45:45 21.55 613 36
2025/1/22 14:45:46 21.51 613 39
2025/1/22 14:45:47 21.45 613 39
2025/1/22 14:45:48 21.45 613 39
2025/1/22 14:45:49 21.57 613 37
2025/1/22 14:45:50 21.55 613 39
2025/1/22 14:45:52 21.57 613 40
2025/1/22 14:45:53 21.33 613 40
2025/1/22 14:45:54 21.45 613 35
2025/1/22 14:45:55 21.51 613 36
2025/1/22 14:45:56 21.45 613 37
2025/1/22 14:45:57 21.51 613 39
2025/1/22 14:45:58 21.45 613 38
2025/1/22 14:45:59 21.45 613 37
2025/1/22 14:46:0 21.33 613 38
2025/1/22 14:46:1 21.21 613 40
2025/1/22 14:46:2 21.57 613 38
2025/1/22 14:46:3 21.39 613 39
2025/1/22 14:46:4 21.61 613 37
2025/1/22 14:46:5 21.73 613 37
2025/1/22 14:46:6 21.51 613 39
2025/1/22 14:46:7 21.51 613 36
2025/1/22 14:46:8 21.45 613 40
2025/1/22 14:46:9 21.55 613 36
2025/1/22 14:46:10 21.55 613 37
2025/1/22 14:46:11 21.45 613 37
2025/1/22 14:46:13 21.39 613 37
2025/1/22 14:46:14 21.55 613 40
2025/1/22 14:46:15 21.57 613 39
2025/1/22 14:46:16 21.49 613 39
2025/1/22 14:46:17 21.55 613 39
2025/1/22 14:46:18 21.51 613 38
2025/1/22 14:46:19 21.57 613 40
2025/1/22 14:46:20 21.33 613 36
2025/1/22 14:46:21 21.49 613 39
2025/1/22 14:46:22 21.45 613 37
2025/1/22 14:46:23 21.21 613 37
2025/1/22 14:46:24 21.33 613 37
2025/1/22 14:46:25 21.39 613 37
2025/1/22 14:46:26 21.33 613 37
2025/1/22 14:46:27 21.55 613 40
2025/1/22 14:46:28 21.57 613 37
2025/1/22 14:46:29 21.27 613 35
2025/1/22 14:46:30 21.55 613 37
2025/1/22 14:46:31 21.33 613 36
2025/1/22 14:46:33 21.33 613 38
2025/1/22 14:46:34 21.27 613 39
2025/1/22 14:46:35 21.49 613 38
2025/1/22 14:46:36 21.49 613 38
2025/1/22 14:46:37 21.51 613 39
2025/1/22 14:46:38 21.27 613 38
2025/1/22 14:46:39 21.37 613 39
2025/1/22 14:46:40 21.43 613 37
2025/1/22 14:46:41 21.39 613 39
2025/1/22 14:46:42 21.43 613 39
2025/1/22 14:46:43 21.43 613 39
2025/1/22 14:46:44 21.61 613 37
2025/1/22 14:46:45 21.51 613 39
2025/1/22 14:46:46 21.49 613 38
2025/1/22 14:46:47 21.55 613 34
2025/1/22 14:46:48 21.33 613 38
2025/1/22 14:46:49 21.67 613 34
2025/1/22 14:46:50 21.29 613 37
2025/1/22 14:46:51 21.33 613 38
2025/1/22 14:46:52 21.77 613 37
2025/1/22 14:46:54 21.29 613 39
2025/1/22 14:46:55 21.27 613 36
2025/1/22 14:46:56 21.57 613 38
2025/1/22 14:46:57 21.51 613 37
2025/1/22 14:46:58 21.55 613 37
2025/1/22 14:46:59 21.39 613 37
2025/1/22 14:47:0 21.39 613 36
2025/1/22 14:47:1 21.33 613 38
2025/1/22 14:47:2 21.45 613 37
2025/1/22 14:47:3 21.17 613 37
2025/1/22 14:47:4 21.39 613 38
2025/1/22 14:47:5 21.33 613 36
2025/1/22 14:47:6 21.39 613 35
2025/1/22 14:47:7 21.37 613 37
2025/1/22 14:47:8 21.33 613 40
2025/1/22 14:47:9 21.37 613 38
2025/1/22 14:47:10 21.55 613 38
2025/1/22 14:47:11 21.45 613 37
2025/1/22 14:47:12 21.43 613 38
2025/1/22 14:47:13 21.29 613 36
2025/1/22 14:47:15 21.39 613 35
2025/1/22 14:47:16 21.43 613 36
2025/1/22 14:47:17 21.37 613 39
2025/1/22 14:47:18 21.29 613 38
